word,count
the,1062370
and,663152
to,511624
of,462179
a,321997
he,288238
in,270847
his,245830
that,229710
was,223355
with,175088
had,165354
at,139190
not,139159
her,122822
as,121148
it,120869
on,113646
but,112158
for,105090
i,100006
she,99975
is,94085
him,84723
you,83235
from,82491
all,77314
said,74586
by,73160
were,73036
be,71703
they,63891
who,60109
what,59985
have,59923
which,59737
one,57412
this,56823
prince,52886
an,50127
so,48918
or,48112
been,45260
their,44454
did,44268
when,44175
would,41509
up,40207
pierre,39060
only,38750
are,36766
if,36177
my,35185
could,33945
there,33852
no,32767
out,32488
into,30938
now,29636
will,29605
them,29202
more,29109
about,28489
went,26226
how,26071
we,25978
him.,25637
some,25606
after,25327
do,25234
man,24118
old,23963
your,23715
very,23622
“i,23405
chapter,22661
princess,22506
"him,",22196
then,21855
andrew,21700
like,21421
himself,21297
natásha,21173
has,21018
french,20801
without,20615
came,20522
before,20460
me,20367
began,20243
looked,19902
time,19871
those,19716
know,19313
still,18941
our,18910
face,18879
thought,18848
see,18755
felt,18538
same,18259
such,18104
these,17887
first,17856
men,17825
seemed,17701
its,17670
go,17081
down,17019
asked,16957
two,16802
where,16802
just,16585
than,16461
little,16306
whole,16213
come,16151
left,16089
over,15996
should,15872
am,15841
other,15593
again,15562
eyes,15376
even,15314
any,15314
something,15252
having,14880
must,14415
rostóv,14229
long,14012
saw,13981
being,13857
always,13826
because,13795
made,13795
own,13764
don’t,13733
count,13578
can,13330
though,13175
say,12896
army,12803
it.,12803
heard,12741
russian,12710
"and,",12648
moscow,12524
young,12524
mary,12493
suddenly,12245
told,12183
took,12183
back,12028
never,12028
people,11966
room,11935
head,11873
looking,11873
day,11811
turned,11811
knew,11780
nicholas,11718
look,11687
another,11687
while,11625
whom,11625
general,11594
under,11470
through,11439
emperor,11408
away,11284
quite,11253
her.,11036
round,11005
love,10850
tell,10788
evidently,10695
napoleon,10664
get,10602
life,10509
much,10509
let,10447
sat,10416
nothing,10323
every,10261
take,10199
kutúzov,10168
"it,",10137
“and,10013
most,9889
last,9889
hand,9827
way,9796
“but,9765
yet,9517
off,9424
countess,9393
“you,9362
gave,9331
already,9300
why,9269
stood,9114
moment,9114
think,9083
might,9083
toward,9052
"“yes,",9052
“what,9021
everything,9021
anna,8990
feeling,8897
good,8711
once,8649
us,8525
officer,8463
behind,8432
going,8401
them.,8370
make,8277
"pierre,",8215
words,8215
"“well,",8184
"her,",8184
new,8153
it’s,8153
put,8091
may,8060
give,8029
understand,7936
right,7874
too,7843
“the,7843
also,7843
ran,7812
*,7781
battle,7688
seen,7595
replied,7595
both,7533
between,7440
shall,7440
great,7409
here,7378
dear,7347
three,7347
soon,7316
expression,7285
house,7192
place,7161
commander,7130
taken,7099
soldiers,7068
order,7037
many,7037
"said,",7006
during,6944
done,6944
whether,6913
sónya,6851
herself,6851
against,6851
room.,6820
pierre.,6789
side,6758
sent,6727
called,6696
rode,6665
among,6634
part,6634
drawing,6603
want,6541
voice,6541
denísov,6541
found,6541
smile,6541
sitting,6448
front,6448
along,6355
"natásha,",6355
anything,6262
talk,6262
taking,6200
"you,",6200
position,6200
brought,6200
does,6169
troops,6169
got,6138
near,6014
moved,5983
that’s,5983
father,5952
shouted,5952
others,5921
everyone,5859
several,5828
door,5766
lay,5735
wished,5735
"andrew,",5704
well,5704
war,5704
beside,5673
received,5642
understood,5642
since,5642
dólokhov,5642
tried,5611
next,5611
each,5580
"them,",5580
things,5549
turning,5518
horse,5425
white,5425
entered,5425
leave,5394
"“oh,",5394
nor,5394
"me,",5332
"“no,",5332
speak,5301
letter,5301
passed,5301
chief,5270
till,5270
few,5239
can’t,5239
ask,5239
word,5239
thing,5208
vasíli,5208
noticed,5177
given,5146
pierre’s,5146
became,5146
wish,5115
pétya,5115
cried,5115
remained,5084
seeing,5084
trying,4991
talking,4991
"he,",4991
borís,4991
really,4960
"eyes,",4929
find,4898
cannot,4898
spoke,4898
wanted,4867
longer,4836
full,4836
small,4836
"rostóv,",4774
far,4774
alone,4774
set,4743
"face,",4743
eyes.,4712
wounded,4712
glanced,4712
crowd,4712
movement,4712
"man,",4712
almost,4712
large,4650
horses,4650
continued,4619
officers,4588
kept,4557
hands,4557
i’ll,4557
rose,4557
"himself,",4526
end,4526
enemy,4526
stopped,4526
orders,4495
sound,4464
happy,4464
question,4464
"moscow,",4433
thousand,4433
"room,",4402
around,4402
met,4371
reached,4371
anatole,4371
standing,4340
de,4340
natásha.,4340
above,4309
answered,4309
mademoiselle,4309
days,4278
"time,",4247
petersburg,4247
fact,4216
evening,4216
themselves,4216
less,4216
“he,4185
held,4185
"yes,",4154
used,4123
"now,",4123
"then,",4123
gone,4123
saying,4092
“it,4092
often,4061
speaking,4061
wife,4061
merely,4061
“how,4061
help,4061
regiment,4061
half,4061
won’t,4030
power,3999
news,3999
returned,3999
himself.,3999
coming,3968
terrible,3968
"army,",3968
soldier,3968
better,3968
strange,3968
mind,3937
night,3906
state,3906
smile.,3875
especially,3875
sometimes,3844
face.,3813
certain,3813
feel,3813
said.,3813
son,3813
"life,",3813
action,3782
morning,3782
"up,",3782
followed,3782
“if,3782
